Fecha,Partner,Pais,Plataforma,Inversion
2025-10-02,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,0.0
2025-10-02,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,9.001961999999999
2025-10-02,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,6.386931000000001
2025-10-02,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,4.228506
2025-10-02,Doradobet,Perú,Ad_Cash_Push_Ads_1,49.0
2025-10-02,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,17.09665
2025-10-03,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,0.0
2025-10-03,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,0.7423240000000002
2025-10-03,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,6.627650999999999
2025-10-03,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,4.259085
2025-10-03,Doradobet,Perú,Ad_Cash_Push_Ads_1,10.0
2025-10-03,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,15.115937
2025-10-04,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,0.0
2025-10-04,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,8.746955
2025-10-04,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,85.99552800000001
2025-10-04,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,20.75315900000001
2025-10-04,Doradobet,Perú,Ad_Cash_Push_Ads_1,33.0
2025-10-04,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,55.97117799999997
2025-10-05,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,0.0
2025-10-05,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,3.5265779999999998
2025-10-05,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,107.98645499999986
2025-10-05,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,17.427064999999978
2025-10-05,Doradobet,Perú,Ad_Cash_Push_Ads_1,66.0
2025-10-05,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,69.45305799999998
2025-10-06,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,0.0
2025-10-06,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,13.035784
2025-10-06,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,7.681878000000001
2025-10-06,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,4.096284
2025-10-06,Doradobet,Perú,Ad_Cash_Push_Ads_1,13.0
2025-10-06,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,46.11066199999998
2025-10-07,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,8.749342000000002
2025-10-07,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,0.293267
2025-10-07,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,6.1159349999999995
2025-10-07,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,3.660551
2025-10-07,Doradobet,Perú,Ad_Cash_Push_Ads_1,14.0
2025-10-07,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,8.476861
2025-10-08,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,8.787549
2025-10-08,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,0.4536009999999999
2025-10-08,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,6.033794000000001
2025-10-08,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,3.1566450000000006
2025-10-08,Doradobet,Perú,Ad_Cash_Push_Ads_1,8.0
2025-10-08,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,8.98117
2025-10-09,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,8.581091
2025-10-09,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,0.5728530000000001
2025-10-09,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,5.903384999999999
2025-10-09,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,3.000172
2025-10-09,Doradobet,Perú,Ad_Cash_Push_Ads_1,12.0
2025-10-09,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,11.95761
2025-10-10,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,12.944382000000003
2025-10-10,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,0.922077
2025-10-10,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,11.256464999999999
2025-10-10,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,4.471117
2025-10-10,Doradobet,Perú,Ad_Cash_Push_Ads_1,10.0
2025-10-10,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,24.337652
2025-10-11,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,10.989847000000001
2025-10-11,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,29.663457999999995
2025-10-11,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,72.98161099999986
2025-10-11,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,5.758868
2025-10-11,Doradobet,Perú,Ad_Cash_Push_Ads_1,24.0
2025-10-11,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,106.24322799999999
2025-10-12,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,9.867784
2025-10-12,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,2.242744
2025-10-12,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,15.801372000000002
2025-10-12,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,5.6743
2025-10-12,Doradobet,Perú,Ad_Cash_Push_Ads_1,2.0
2025-10-12,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,30.861578000000005
2025-10-13,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,8.440056000000002
2025-10-13,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,1.883794
2025-10-13,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,9.247043999999999
2025-10-13,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,5.370596000000001
2025-10-13,Doradobet,Perú,Ad_Cash_Push_Ads_1,8.0
2025-10-13,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,22.453744000000004
2025-10-14,Doradobet,Costa Rica,Ad_Cash_Push_Ads_1,15.435901000000005
2025-10-14,Doradobet,Ecuador,Ad_Cash_Push_Ads_1,5.898390000000001
2025-10-14,Doradobet,El Salvador,Ad_Cash_Push_Ads_1,19.00738300000001
2025-10-14,Doradobet,Nicaragua,Ad_Cash_Push_Ads_1,7.287346000000001
2025-10-14,Doradobet,Perú,Ad_Cash_Push_Ads_1,8.0
2025-10-14,Ecuabet,Ecuador,Ad_Cash_Push_Ads_1,32.522963999999995
