day,campaignId,campaignName,clicks,spent,conversionsBuy,conversionsDecision,revenue,profit
2025-10-01,11493478,EC_Ecuabet_Registros_Casino,762,40.634,0,4,0.0,-40.634
2025-10-01,11344234,EC_Ecuabet_Registros_Deportivas,225,14.075,0,1,0.0,-14.075
2025-10-01,12075973,Peru | Aciertala | 2025,165,12.375,0,0,0.0,-12.375
2025-10-01,12075974,Peru | Aciertala_Casino | 2025,145,10.15,0,0,0.0,-10.15
2025-10-02,11493478,EC_Ecuabet_Registros_Casino,949,56.394,0,0,0.0,-56.394
2025-10-02,11344234,EC_Ecuabet_Registros_Deportivas,248,15.3645,0,1,0.0,-15.3645
2025-10-02,12075973,Peru | Aciertala | 2025,161,12.075,0,0,0.0,-12.075
2025-10-02,12075974,Peru | Aciertala_Casino | 2025,145,10.15,0,0,0.0,-10.15
2025-10-03,11493478,EC_Ecuabet_Registros_Casino,979,61.2535,0,2,0.0,-61.2535
2025-10-03,11344234,EC_Ecuabet_Registros_Deportivas,268,17.138,0,0,0.0,-17.138
2025-10-03,12075973,Peru | Aciertala | 2025,166,12.45,0,0,0.0,-12.45
2025-10-03,12075974,Peru | Aciertala_Casino | 2025,144,10.08,0,0,0.0,-10.08
2025-10-04,11493478,EC_Ecuabet_Registros_Casino,946,57.865,0,0,0.0,-57.865
2025-10-04,11344234,EC_Ecuabet_Registros_Deportivas,214,13.2925,0,0,0.0,-13.2925
2025-10-04,12075973,Peru | Aciertala | 2025,161,12.075,0,0,0.0,-12.075
2025-10-04,12075974,Peru | Aciertala_Casino | 2025,144,10.08,0,1,0.0,-10.08
2025-10-05,11493478,EC_Ecuabet_Registros_Casino,880,49.857,0,1,0.0,-49.857
2025-10-05,11344234,EC_Ecuabet_Registros_Deportivas,309,18.0545,0,0,0.0,-18.0545
2025-10-05,12075973,Peru | Aciertala | 2025,165,12.375,0,0,0.0,-12.375
2025-10-05,12075974,Peru | Aciertala_Casino | 2025,145,10.15,0,0,0.0,-10.15
2025-10-06,11493478,EC_Ecuabet_Registros_Casino,716,43.6005,0,4,0.0,-43.6005
2025-10-06,11344234,EC_Ecuabet_Registros_Deportivas,272,16.022,0,0,0.0,-16.022
