Fecha,Partner,Pais,Plataforma,Inversion
2025-10-01,Doradobet,Costa Rica,Taboola_Nativo_2,35.65
2025-10-02,Doradobet,Costa Rica,Taboola_Nativo_2,35.72
2025-10-03,Doradobet,Costa Rica,Taboola_Nativo_2,34.48
2025-10-04,Doradobet,Costa Rica,Taboola_Nativo_2,35.42
2025-10-05,Doradobet,Costa Rica,Taboola_Nativo_2,36.32
2025-10-06,Doradobet,Costa Rica,Taboola_Nativo_2,35.87
2025-10-07,Doradobet,Costa Rica,Taboola_Nativo_2,35.11
2025-10-08,Doradobet,Costa Rica,Taboola_Nativo_2,30.91
2025-10-09,Doradobet,Costa Rica,Taboola_Nativo_2,34.94
2025-10-10,Doradobet,Costa Rica,Taboola_Nativo_2,35.39
2025-10-11,Doradobet,Costa Rica,Taboola_Nativo_2,32.4
2025-10-12,Doradobet,Costa Rica,Taboola_Nativo_2,34.28
2025-10-13,Doradobet,Costa Rica,Taboola_Nativo_2,35.09
2025-10-14,Doradobet,Costa Rica,Taboola_Nativo_2,35.28
