stat_time_day,ad_id,country_code,comments,cpc,currency,result,profile_visits,impressions,shares,clicks,result_rate,video_watched_2s,cpm,conversion,likes,spend,campaign_id,cost_per_conversion,complete_payment,conversion_rate,ctr,video_watched_6s,follows,reach
2025-10-03 00:00:00,1844989123681314,EC,0,22.66,COP,729,1,10692,0,1033,6.82,4810,2188.92,729,0,23403.98,1844988626921586,32.10,0,70.57,9.66,3454,0,4999
2025-10-03 00:00:00,1844989123681314,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-04 00:00:00,1844989123681314,EC,0,13.47,COP,1671,0,20555,0,2332,8.13,9813,1528.57,1671,0,31419.68,1844988626921586,18.80,0,71.66,11.35,7097,0,10405
2025-10-04 00:00:00,1844989123681314,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-05 00:00:00,1844989123681314,EC,0,11.78,COP,2095,0,23005,0,2945,9.11,11351,1507.40,2095,0,34677.70,1844988626921586,16.55,0,71.14,12.80,8090,0,11775
2025-10-05 00:00:00,1844989123681314,None,0,0.00,COP,3,0,0,0,0,0.00,0,0.00,3,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-06 00:00:00,1844989123681314,EC,0,13.46,COP,1779,0,23386,0,2590,7.61,10725,1491.15,1779,0,34871.95,1844988626921586,19.60,0,68.69,11.08,7540,0,11581
2025-10-06 00:00:00,1844989123681314,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-07 00:00:00,1844989123681314,EC,0,13.77,COP,1666,0,21610,0,2446,7.71,10242,1558.72,1666,0,33683.84,1844988626921586,20.22,0,68.11,11.32,7452,0,10979
2025-10-07 00:00:00,1844989123681314,None,0,0.00,COP,2,0,0,0,0,0.00,0,0.00,2,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-08 00:00:00,1844989123681314,EC,0,16.85,COP,1401,0,17595,0,2009,7.96,8891,1923.72,1401,0,33847.89,1844988626921586,24.16,0,69.74,11.42,6733,0,9185
