advertiser_id,campaign_id,country,day,payout.actual_adv_usd,clicks,imps,pixel.type.ftd,pixel.type.reg_finished,pixel.type.deposit,pixel.type.login,CTR,CPA
1251,7517,SV,2025-10-01,159.76,202,113517,8,31,13,557,0.18,0.79
1251,7517,SV,2025-10-02,153.51,305,152524,2,9,6,401,0.2,0.5
1251,7517,SV,2025-10-03,158.13,293,168787,4,19,8,373,0.17,0.54
1251,7517,SV,2025-10-04,119.33,191,120308,4,14,8,581,0.16,0.62
1251,7517,SV,2025-10-05,159.59,196,149772,5,22,7,457,0.13,0.81
1251,7517,SV,2025-10-06,150.01,242,156492,1,10,3,402,0.15,0.62
1251,7517,SV,2025-10-07,197.73,290,165124,7,16,8,415,0.18,0.68
1251,7517,SV,2025-10-08,161.54,264,156442,5,17,9,399,0.17,0.61
1251,7517,SV,2025-10-09,85.84,143,103002,5,9,7,398,0.14,0.6
1251,7517,SV,2025-10-10,110.48,251,124144,8,23,10,502,0.2,0.44
1251,7517,SV,2025-10-11,93.19,203,110044,2,29,5,542,0.18,0.46
1251,7517,SV,2025-10-12,102.22,249,123932,5,8,6,353,0.2,0.41
1251,7517,SV,2025-10-13,123.08,177,121828,3,10,5,348,0.15,0.7
1251,7517,SV,2025-10-14,73.85,187,105399,3,19,6,437,0.18,0.39
1251,7518,CR,2025-10-01,353.35,862,380035,41,85,58,2676,0.23,0.41
1251,7518,CR,2025-10-02,418.54,1402,492867,35,58,46,1973,0.28,0.3
1251,7518,CR,2025-10-03,412.78,1025,508958,30,44,33,1704,0.2,0.4
1251,7518,CR,2025-10-04,469.91,1315,415258,25,43,34,2171,0.32,0.36
1251,7518,CR,2025-10-05,629.02,1267,461140,34,75,38,2292,0.27,0.5
1251,7518,CR,2025-10-06,478.96,1131,515432,15,37,16,1646,0.22,0.42
1251,7518,CR,2025-10-07,553.23,1264,542010,22,43,31,1737,0.23,0.44
1251,7518,CR,2025-10-08,481.94,1497,512346,29,47,35,1879,0.29,0.32
1251,7518,CR,2025-10-09,473.74,928,520362,47,86,53,2446,0.18,0.51
1251,7518,CR,2025-10-10,404.68,990,468240,41,84,49,2459,0.21,0.41
1251,7518,CR,2025-10-11,533.36,1110,479576,34,51,41,1774,0.23,0.48
1251,7518,CR,2025-10-12,395.66,1041,409929,20,40,22,1823,0.25,0.38
1251,7518,CR,2025-10-13,463.39,800,496788,41,55,50,2095,0.16,0.58
1251,7518,CR,2025-10-14,409.3,943,455322,45,73,53,2240,0.21,0.43
1251,7519,PE,2025-10-01,373.92,699,812387,15,82,34,5027,0.09,0.53
1251,7519,PE,2025-10-02,363.66,759,820604,20,46,40,4152,0.09,0.48
1251,7519,PE,2025-10-03,413.58,862,990650,15,45,24,2997,0.09,0.48
1251,7519,PE,2025-10-04,391.99,742,827928,14,41,32,4639,0.09,0.53
1251,7519,PE,2025-10-05,376.43,746,853963,6,56,12,4335,0.09,0.5
1251,7519,PE,2025-10-06,341.19,754,716636,6,42,12,2347,0.11,0.45
1251,7519,PE,2025-10-07,281.37,622,553355,12,37,20,2597,0.11,0.45
1251,7519,PE,2025-10-08,389.05,940,881288,11,41,21,2783,0.11,0.41
1251,7519,PE,2025-10-09,234.91,493,540427,3,37,11,3187,0.09,0.48
1251,7519,PE,2025-10-10,254.36,602,631516,10,51,22,3841,0.1,0.42
1251,7519,PE,2025-10-11,156.19,356,369532,10,37,21,3687,0.1,0.44
1251,7519,PE,2025-10-12,171.46,350,420824,6,26,16,3369,0.08,0.49
1251,7519,PE,2025-10-13,153.06,361,437228,8,30,15,2843,0.08,0.42
1251,7519,PE,2025-10-14,162.99,308,411757,5,38,13,2980,0.07,0.53
1251,7520,EC,2025-10-01,225.09,738,253686,27,53,35,1444,0.29,0.3
1251,7520,EC,2025-10-02,434.35,1287,492867,19,40,24,1203,0.26,0.34
1251,7520,EC,2025-10-03,353.7,1537,449233,16,30,19,982,0.34,0.23
1251,7520,EC,2025-10-04,410.06,1560,410083,19,40,26,1456,0.38,0.26
1251,7520,EC,2025-10-05,348.92,1289,428295,4,40,10,1208,0.3,0.27
1251,7520,EC,2025-10-06,373.23,1472,416071,3,31,3,980,0.35,0.25
1251,7520,EC,2025-10-07,363.47,1789,418482,7,24,13,1028,0.43,0.2
1251,7520,EC,2025-10-08,371.73,1448,445859,13,31,19,1031,0.32,0.26
1251,7520,EC,2025-10-09,288.02,1250,327734,10,28,11,990,0.38,0.23
1251,7520,EC,2025-10-10,351.76,1463,398071,24,42,28,1062,0.37,0.24
1251,7520,EC,2025-10-11,432.69,1350,449688,16,28,23,1117,0.3,0.32
1251,7520,EC,2025-10-12,333.27,1352,377243,9,28,15,863,0.36,0.25
1251,7520,EC,2025-10-13,370.89,1123,448057,13,21,16,963,0.25,0.33
1251,7520,EC,2025-10-14,291.19,821,274036,13,36,18,891,0.3,0.35
1251,7927,CL,2025-10-01,164.84,1038,241841,1,11,6,364,0.43,0.16
1251,7927,CL,2025-10-02,192.85,1435,389504,5,3,6,288,0.37,0.13
1251,7927,CL,2025-10-03,216.02,1732,342767,2,4,2,323,0.51,0.12
1251,7927,CL,2025-10-04,195.03,1292,362219,1,10,3,353,0.36,0.15
1251,7927,CL,2025-10-05,271.8,1395,298230,2,14,4,579,0.47,0.19
1251,7927,CL,2025-10-06,205.79,1408,299323,0,7,1,360,0.47,0.15
1251,7927,CL,2025-10-07,246.71,1527,337811,2,9,4,374,0.45,0.16
1251,7927,CL,2025-10-08,225.55,1288,336349,1,6,1,318,0.38,0.18
1251,7927,CL,2025-10-09,301.06,2021,453477,2,5,4,339,0.45,0.15
1251,7927,CL,2025-10-10,349.25,2295,395372,1,12,1,378,0.58,0.15
1251,7927,CL,2025-10-11,214.97,276,301603,3,10,3,355,0.09,0.78
1251,7927,CL,2025-10-12,197.56,474,296892,1,7,4,608,0.16,0.42
1251,7927,CL,2025-10-13,190.97,338,304570,3,11,7,380,0.11,0.56
1251,7927,CL,2025-10-14,184.27,233,278252,4,15,5,358,0.08,0.79
1251,9092,GT,2025-10-08,71.34,466,87347,0,1,0,145,0.53,0.15
1251,9092,GT,2025-10-09,129.55,443,222057,3,10,3,326,0.2,0.29
1251,9092,GT,2025-10-10,140.55,215,217252,5,14,6,454,0.1,0.65
1251,9092,GT,2025-10-11,134.53,181,184766,2,6,4,316,0.1,0.74
1251,9092,GT,2025-10-12,107.6,241,160703,1,7,3,325,0.15,0.45
1251,9092,GT,2025-10-13,127.7,238,178681,1,1,2,362,0.13,0.54
1251,9092,GT,2025-10-14,128.9,205,182691,4,7,7,424,0.11,0.63
1252,7521,EC,2025-10-01,159.12,268,108581,30,80,78,2941,0.25,0.59
1252,7521,EC,2025-10-02,239.07,404,187819,11,44,32,1944,0.22,0.59
1252,7521,EC,2025-10-03,292.35,455,218125,14,32,32,1404,0.21,0.64
1252,7521,EC,2025-10-04,315.78,604,222506,16,42,29,2041,0.27,0.52
1252,7521,EC,2025-10-05,314.2,460,245679,5,41,13,1851,0.19,0.68
1252,7521,EC,2025-10-06,299.03,405,253369,3,26,9,1072,0.16,0.74
1252,7521,EC,2025-10-07,276.69,366,218065,7,25,12,1354,0.17,0.76
1252,7521,EC,2025-10-08,390.23,445,212500,4,20,15,1428,0.21,0.88
1252,7521,EC,2025-10-09,157.89,364,143133,4,28,20,1754,0.25,0.43
