Fecha,Partner,Pais,Plataforma,Inversion
2025-10-01,Aciertala,Perú,Propellerads_Push_Ads_4,3.114
2025-10-01,Camanbet,Venezuela,Propellerads_Push_Ads_4,18.824
2025-10-01,Doradobet,Chile,Propellerads_Push_Ads_4,1.4160000000000001
2025-10-01,Doradobet,Costa Rica,Propellerads_Push_Ads_4,8.062
2025-10-01,Doradobet,Ecuador,Propellerads_Push_Ads_4,51.82599999999999
2025-10-01,Doradobet,El Salvador,Propellerads_Push_Ads_4,20.157
2025-10-01,Doradobet,Guatemala,Propellerads_Push_Ads_4,12.892999999999999
2025-10-01,Doradobet,Honduras,Propellerads_Push_Ads_4,100.024
2025-10-01,Doradobet,Nicaragua,Propellerads_Push_Ads_4,4.385
2025-10-01,Ecuabet,Ecuador,Propellerads_Push_Ads_4,15.808
2025-10-01,Paniplay,Honduras,Propellerads_Push_Ads_4,7.872
2025-10-02,Aciertala,Perú,Propellerads_Push_Ads_4,3.047
2025-10-02,Camanbet,Venezuela,Propellerads_Push_Ads_4,16.288
2025-10-02,Doradobet,Chile,Propellerads_Push_Ads_4,3.451
2025-10-02,Doradobet,Costa Rica,Propellerads_Push_Ads_4,5.647
2025-10-02,Doradobet,Ecuador,Propellerads_Push_Ads_4,38.608999999999995
2025-10-02,Doradobet,El Salvador,Propellerads_Push_Ads_4,8.712
2025-10-02,Doradobet,Guatemala,Propellerads_Push_Ads_4,1.1079999999999999
2025-10-02,Doradobet,Honduras,Propellerads_Push_Ads_4,36.307
2025-10-02,Doradobet,Nicaragua,Propellerads_Push_Ads_4,5.162
2025-10-02,Ecuabet,Ecuador,Propellerads_Push_Ads_4,8.984
2025-10-02,Paniplay,Honduras,Propellerads_Push_Ads_4,2.375
2025-10-03,Aciertala,Perú,Propellerads_Push_Ads_4,2.943
2025-10-03,Camanbet,Venezuela,Propellerads_Push_Ads_4,26.066
2025-10-03,Doradobet,Chile,Propellerads_Push_Ads_4,4.082
2025-10-03,Doradobet,Costa Rica,Propellerads_Push_Ads_4,3.898
2025-10-03,Doradobet,Ecuador,Propellerads_Push_Ads_4,11.189
2025-10-03,Doradobet,El Salvador,Propellerads_Push_Ads_4,7.141
2025-10-03,Doradobet,Guatemala,Propellerads_Push_Ads_4,10.57
2025-10-03,Doradobet,Honduras,Propellerads_Push_Ads_4,7.665
2025-10-03,Doradobet,Nicaragua,Propellerads_Push_Ads_4,1.839
2025-10-03,Ecuabet,Ecuador,Propellerads_Push_Ads_4,8.525
2025-10-03,Paniplay,Honduras,Propellerads_Push_Ads_4,1.925
2025-10-04,Aciertala,Perú,Propellerads_Push_Ads_4,3.766
2025-10-04,Camanbet,Venezuela,Propellerads_Push_Ads_4,21.775
2025-10-04,Doradobet,Chile,Propellerads_Push_Ads_4,4.759
